Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures 
(%)","OnTime Arrivals 
(%)","Cancellations 

(%)"
Port Hedland-Perth,Port Hedland,Perth,QantasLink,Jan-23, 90, 88, 2, 63, 64, 25, 24,71.6,72.7,2.2
Port Lincoln-Adelaide,Port Lincoln,Adelaide,QantasLink,Jan-23, 137, 133, 4, 126, 126, 7, 7,94.7,94.7,2.9
Port Macquarie-Sydney,Port Macquarie,Sydney,QantasLink,Jan-23, 109, 108, 1, 92, 93, 16, 15,85.2,86.1,0.9
Proserpine-Brisbane,Proserpine,Brisbane,QantasLink,Jan-23, 24, 22, 2, 17, 16, 5, 6,77.3,72.7,8.3
Rockhampton-Brisbane,Rockhampton,Brisbane,QantasLink,Jan-23, 172, 166, 6, 148, 147, 18, 19,89.2,88.6,3.5
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,QantasLink,Jan-23, 32, 31, 1, 21, 22, 10, 9,67.7,71.0,3.1
Sunshine Coast-Sydney,Sunshine Coast,Sydney,QantasLink,Jan-23, 66, 64, 2, 54, 54, 10, 10,84.4,84.4,3.0
Sydney-Albury,Sydney,Albury,QantasLink,Jan-23, 94, 91, 3, 76, 82, 15, 9,83.5,90.1,3.2
Sydney-Armidale,Sydney,Armidale,QantasLink,Jan-23, 98, 92, 6, 72, 79, 20, 13,78.3,85.9,6.1
Sydney-Ballina,Sydney,Ballina,QantasLink,Jan-23, 98, 92, 6, 69, 79, 23, 13,75.0,85.9,6.1
Sydney-Canberra,Sydney,Canberra,QantasLink,Jan-23, 302, 274, 28, 219, 220, 55, 54,79.9,80.3,9.3
Sydney-Coffs Harbour,Sydney,Coffs Harbour,QantasLink,Jan-23, 115, 115, 0, 96, 99, 19, 16,83.5,86.1,0.0
Sydney-Dubbo,Sydney,Dubbo,QantasLink,Jan-23, 106, 103, 3, 81, 91, 22, 12,78.6,88.3,2.8
Sydney-Gold Coast,Sydney,Gold Coast,QantasLink,Jan-23, 35, 34, 1, 30, 29, 4, 5,88.2,85.3,2.9
Sydney-Hobart,Sydney,Hobart,QantasLink,Jan-23, 48, 48, 0, 29, 36, 19, 12,60.4,75.0,0.0
Sydney-Launceston,Sydney,Launceston,QantasLink,Jan-23, 31, 31, 0, 28, 29, 3, 2,90.3,93.5,0.0
Sydney-Port Macquarie,Sydney,Port Macquarie,QantasLink,Jan-23, 110, 109, 1, 91, 95, 18, 14,83.5,87.2,0.9
Sydney-Sunshine Coast,Sydney,Sunshine Coast,QantasLink,Jan-23, 67, 66, 1, 53, 51, 13, 15,80.3,77.3,1.5
Sydney-Wagga Wagga,Sydney,Wagga Wagga,QantasLink,Jan-23, 99, 95, 4, 81, 80, 14, 15,85.3,84.2,4.0
Townsville-Brisbane,Townsville,Brisbane,QantasLink,Jan-23, 18, 18, 0, 12, 10, 6, 8,66.7,55.6,0.0
Townsville-Cairns,Townsville,Cairns,QantasLink,Jan-23, 153, 147, 6, 128, 133, 19, 14,87.1,90.5,3.9
Wagga Wagga-Sydney,Wagga Wagga,Sydney,QantasLink,Jan-23, 98, 92, 6, 82, 83, 10, 9,89.1,90.2,6.1
All Ports-All Ports,All Ports,All Ports,QantasLink,Jan-23,11 225,10 875, 350,9 028,9 004,1 847,1 871,83.0,82.8,3.1
Adelaide-Melbourne,Adelaide,Melbourne,Rex Airlines,Jan-23, 57, 57, 0, 49, 49, 8, 8,86.0,86.0,0.0
Adelaide-Port Lincoln,Adelaide,Port Lincoln,Rex Airlines,Jan-23, 151, 146, 5, 139, 133, 7, 13,95.2,91.1,3.3
Albury-Sydney,Albury,Sydney,Rex Airlines,Jan-23, 82, 80, 2, 68, 67, 12, 13,85.0,83.8,2.4
Armidale-Sydney,Armidale,Sydney,Rex Airlines,Jan-23, 38, 38, 0, 31, 30, 7, 8,81.6,78.9,0.0
Brisbane-Melbourne,Brisbane,Melbourne,Rex Airlines,Jan-23, 64, 64, 0, 49, 46, 15, 18,76.6,71.9,0.0
Brisbane-Sydney,Brisbane,Sydney,Rex Airlines,Jan-23, 144, 143, 1, 112, 111, 31, 32,78.3,77.6,0.7
Cairns-Townsville,Cairns,Townsville,Rex Airlines,Jan-23, 13, 12, 1, 10, 11, 2, 1,83.3,91.7,7.7
Canberra-Melbourne,Canberra,Melbourne,Rex Airlines,Jan-23, 31, 31, 0, 25, 25, 6, 6,80.6,80.6,0.0
Coffs Harbour-Sydney,Coffs Harbour,Sydney,Rex Airlines,Jan-23, 90, 89, 1, 77, 69, 12, 20,86.5,77.5,1.1
Dubbo-Sydney,Dubbo,Sydney,Rex Airlines,Jan-23, 76, 76, 0, 70, 65, 6, 11,92.1,85.5,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Rex Airlines,Jan-23, 32, 32, 0, 25, 28, 7, 4,78.1,87.5,0.0
Gold Coast-Sydney,Gold Coast,Sydney,Rex Airlines,Jan-23, 31, 31, 0, 27, 28, 4, 3,87.1,90.3,0.0
Melbourne-Adelaide,Melbourne,Adelaide,Rex Airlines,Jan-23, 58, 58, 0, 48, 47, 10, 11,82.8,81.0,0.0
Melbourne-Brisbane,Melbourne,Brisbane,Rex Airlines,Jan-23, 64, 64, 0, 53, 48, 11, 16,82.8,75.0,0.0
Melbourne-Canberra,Melbourne,Canberra,Rex Airlines,Jan-23, 31, 31, 0, 25, 26, 6, 5,80.6,83.9,0.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Rex Airlines,Jan-23, 32, 32, 0, 31, 30, 1, 2,96.9,93.8,0.0
Melbourne-Mildura,Melbourne,Mildura,Rex Airlines,Jan-23, 59, 59, 0, 52, 46, 7, 13,88.1,78.0,0.0
Melbourne-Sydney,Melbourne,Sydney,Rex Airlines,Jan-23, 195, 191, 4, 170, 163, 21, 28,89.0,85.3,2.1
Mildura-Melbourne,Mildura,Melbourne,Rex Airlines,Jan-23, 58, 58, 0, 52, 44, 6, 14,89.7,75.9,0.0
Port Lincoln-Adelaide,Port Lincoln,Adelaide,Rex Airlines,Jan-23, 151, 146, 5, 133, 133, 13, 13,91.1,91.1,3.3
Port Macquarie-Sydney,Port Macquarie,Sydney,Rex Airlines,Jan-23, 73, 72, 1, 63, 61, 9, 11,87.5,84.7,1.4
Sydney-Albury,Sydney,Albury,Rex Airlines,Jan-23, 81, 80, 1, 63, 66, 17, 14,78.8,82.5,1.2
Sydney-Armidale,Sydney,Armidale,Rex Airlines,Jan-23, 38, 38, 0, 32, 32, 6, 6,84.2,84.2,0.0
Sydney-Brisbane,Sydney,Brisbane,Rex Airlines,Jan-23, 143, 142, 1, 114, 104, 28, 38,80.3,73.2,0.7
Sydney-Coffs Harbour,Sydney,Coffs Harbour,Rex Airlines,Jan-23, 91, 91, 0, 79, 80, 12, 11,86.8,87.9,0.0
Sydney-Dubbo,Sydney,Dubbo,Rex Airlines,Jan-23, 87, 87, 0, 74, 80, 13, 7,85.1,92.0,0.0
Sydney-Gold Coast,Sydney,Gold Coast,Rex Airlines,Jan-23, 32, 32, 0, 29, 28, 3, 4,90.6,87.5,0.0
Sydney-Melbourne,Sydney,Melbourne,Rex Airlines,Jan-23, 195, 191, 4, 170, 173, 21, 18,89.0,90.6,2.1
Sydney-Port Macquarie,Sydney,Port Macquarie,Rex Airlines,Jan-23, 75, 74, 1, 66, 68, 8, 6,89.2,91.9,1.3
Sydney-Wagga Wagga,Sydney,Wagga Wagga,Rex Airlines,Jan-23, 81, 79, 2, 62, 64, 17, 15,78.5,81.0,2.5
Townsville-Cairns,Townsville,Cairns,Rex Airlines,Jan-23, 13, 12, 1, 10, 10, 2, 2,83.3,83.3,7.7
Wagga Wagga-Sydney,Wagga Wagga,Sydney,Rex Airlines,Jan-23, 80, 78, 2, 70, 62, 8, 16,89.7,79.5,2.5
All Ports-All Ports,All Ports,All Ports,Rex Airlines,Jan-23,5 475,5 438, 37,4 531,4 408, 907,1 030,83.3,81.1,0.7
Adelaide-Alice Springs,Adelaide,Alice Springs,Virgin Australia,Jan-23, 9, 9, 0, 8, 7, 1, 2,88.9,77.8,0.0
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,Jan-23, 140, 136, 4, 102, 105, 34, 31,75.0,77.2,2.9
Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,Jan-23, 19, 19, 0, 13, 14, 6, 5,68.4,73.7,0.0
Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,Jan-23, 43, 42, 1, 36, 38, 6, 4,85.7,90.5,2.3
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,Jan-23, 273, 269, 4, 202, 224, 67, 45,75.1,83.3,1.5
Adelaide-Perth,Adelaide,Perth,Virgin Australia,Jan-23, 21, 21, 0, 12, 11, 9, 10,57.1,52.4,0.0
Adelaide-Sydney,Adelaide,Sydney,Virgin Australia,Jan-23, 141, 138, 3, 104, 104, 34, 34,75.4,75.4,2.1
Alice Springs-Adelaide,Alice Springs,Adelaide,Virgin Australia,Jan-23, 9, 9, 0, 6, 7, 3, 2,66.7,77.8,0.0
Ballina-Sydney,Ballina,Sydney,Virgin Australia,Jan-23, 52, 52, 0, 32, 35, 20, 17,61.5,67.3,0.0
Brisbane-Adelaide,Brisbane,Adelaide,Virgin Australia,Jan-23, 140, 136, 4, 100, 100, 36, 36,73.5,73.5,2.9
Brisbane-Cairns,Brisbane,Cairns,Virgin Australia,Jan-23, 136, 135, 1, 100, 98, 35, 37,74.1,72.6,0.7
Brisbane-Canberra,Brisbane,Canberra,Virgin Australia,Jan-23, 94, 93, 1, 70, 75, 23, 18,75.3,80.6,1.1
Brisbane-Darwin,Brisbane,Darwin,Virgin Australia,Jan-23, 40, 40, 0, 31, 30, 9, 10,77.5,75.0,0.0
Brisbane-Emerald,Brisbane,Emerald,Virgin Australia,Jan-23, 27, 27, 0, 18, 19, 9, 8,66.7,70.4,0.0
Brisbane-Gladstone,Brisbane,Gladstone,Virgin Australia,Jan-23, 48, 46, 2, 30, 28, 16, 18,65.2,60.9,4.2
Brisbane-Hamilton Island,Brisbane,Hamilton Island,Virgin Australia,Jan-23, 40, 40, 0, 37, 33, 3, 7,92.5,82.5,0.0
Brisbane-Hobart,Brisbane,Hobart,Virgin Australia,Jan-23, 58, 57, 1, 45, 44, 12, 13,78.9,77.2,1.7
Brisbane-Launceston,Brisbane,Launceston,Virgin Australia,Jan-23, 25, 24, 1, 17, 17, 7, 7,70.8,70.8,4.0
Brisbane-Mackay,Brisbane,Mackay,Virgin Australia,Jan-23, 134, 131, 3, 77, 65, 54, 66,58.8,49.6,2.2
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,Jan-23, 403, 393, 10, 269, 259, 124, 134,68.4,65.9,2.5
Brisbane-Mount Isa,Brisbane,Mount Isa,Virgin Australia,Jan-23, 12, 12, 0, 7, 6, 5, 6,58.3,50.0,0.0
Brisbane-Newcastle,Brisbane,Newcastle,Virgin Australia,Jan-23, 84, 82, 2, 51, 49, 31, 33,62.2,59.8,2.4
Brisbane-Perth,Brisbane,Perth,Virgin Australia,Jan-23, 136, 133, 3, 93, 90, 40, 43,69.9,67.7,2.2
Brisbane-Proserpine,Brisbane,Proserpine,Virgin Australia,Jan-23, 49, 44, 5, 37, 36, 7, 8,84.1,81.8,10.2
Brisbane-Rockhampton,Brisbane,Rockhampton,Virgin Australia,Jan-23, 136, 135, 1, 77, 61, 58, 74,57.0,45.2,0.7
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,Jan-23, 418, 405, 13, 270, 266, 135, 139,66.7,65.7,3.1
Brisbane-Townsville,Brisbane,Townsville,Virgin Australia,Jan-23, 138, 126, 12, 82, 85, 44, 41,65.1,67.5,8.7
Broome-Perth,Broome,Perth,Virgin Australia,Jan-23, 11, 10, 1, 2, 3, 8, 7,20.0,30.0,9.1
Cairns-Brisbane,Cairns,Brisbane,Virgin Australia,Jan-23, 136, 135, 1, 97, 105, 38, 30,71.9,77.8,0.7
Cairns-Melbourne,Cairns,Melbourne,Virgin Australia,Jan-23, 49, 49, 0, 33, 35, 16, 14,67.3,71.4,0.0
Cairns-Sydney,Cairns,Sydney,Virgin Australia,Jan-23, 81, 81, 0, 64, 63, 17, 18,79.0,77.8,0.0
Canberra-Adelaide,Canberra,Adelaide,Virgin Australia,Jan-23, 19, 19, 0, 15, 13, 4, 6,78.9,68.4,0.0
Canberra-Brisbane,Canberra,Brisbane,Virgin Australia,Jan-23, 94, 92, 2, 70, 70, 22, 22,76.1,76.1,2.1
Canberra-Gold Coast,Canberra,Gold Coast,Virgin Australia,Jan-23, 45, 45, 0, 38, 37, 7, 8,84.4,82.2,0.0
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia,Jan-23, 105, 105, 0, 80, 79, 25, 26,76.2,75.2,0.0
Canberra-Sydney,Canberra,Sydney,Virgin Australia,Jan-23, 212, 209, 3, 173, 179, 36, 30,82.8,85.6,1.4
Darwin-Brisbane,Darwin,Brisbane,Virgin Australia,Jan-23, 39, 39, 0, 28, 30, 11, 9,71.8,76.9,0.0
Darwin-Melbourne,Darwin,Melbourne,Virgin Australia,Jan-23, 20, 19, 1, 8, 11, 11, 8,42.1,57.9,5.0
Darwin-Perth,Darwin,Perth,Virgin Australia,Jan-23, 2, 2, 0, 2, 2, 0, 0,100.0,100.0,0.0
Darwin-Sydney,Darwin,Sydney,Virgin Australia,Jan-23, 7, 7, 0, 5, 6, 2, 1,71.4,85.7,0.0
Emerald-Brisbane,Emerald,Brisbane,Virgin Australia,Jan-23, 27, 27, 0, 19, 18, 8, 9,70.4,66.7,0.0
Gladstone-Brisbane,Gladstone,Brisbane,Virgin Australia,Jan-23, 48, 46, 2, 31, 21, 15, 25,67.4,45.7,4.2
Gold Coast-Adelaide,Gold Coast,Adelaide,Virgin Australia,Jan-23, 43, 42, 1, 34, 34, 8, 8,81.0,81.0,2.3
Gold Coast-Canberra,Gold Coast,Canberra,Virgin Australia,Jan-23, 45, 45, 0, 35, 37, 10, 8,77.8,82.2,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Virgin Australia,Jan-23, 328, 328, 0, 271, 270, 57, 58,82.6,82.3,0.0
Gold Coast-Sydney,Gold Coast,Sydney,Virgin Australia,Jan-23, 320, 314, 6, 239, 233, 75, 81,76.1,74.2,1.9
Hamilton Island-Brisbane,Hamilton Island,Brisbane,Virgin Australia,Jan-23, 40, 40, 0, 28, 30, 12, 10,70.0,75.0,0.0
Hamilton Island-Sydney,Hamilton Island,Sydney,Virgin Australia,Jan-23, 31, 31, 0, 23, 23, 8, 8,74.2,74.2,0.0
Hobart-Brisbane,Hobart,Brisbane,Virgin Australia,Jan-23, 58, 57, 1, 38, 37, 19, 20,66.7,64.9,1.7
Hobart-Melbourne,Hobart,Melbourne,Virgin Australia,Jan-23, 141, 140, 1, 95, 86, 45, 54,67.9,61.4,0.7
Hobart-Sydney,Hobart,Sydney,Virgin Australia,Jan-23, 79, 77, 2, 52, 45, 25, 32,67.5,58.4,2.5
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia,Jan-23, 27, 26, 1, 19, 16, 7, 10,73.1,61.5,3.7
Karratha-Perth,Karratha,Perth,Virgin Australia,Jan-23, 23, 23, 0, 21, 20, 2, 3,91.3,87.0,0.0
Launceston-Brisbane,Launceston,Brisbane,Virgin Australia,Jan-23, 25, 24, 1, 18, 17, 6, 7,75.0,70.8,4.0
Launceston-Melbourne,Launceston,Melbourne,Virgin Australia,Jan-23, 97, 97, 0, 81, 79, 16, 18,83.5,81.4,0.0
Launceston-Sydney,Launceston,Sydney,Virgin Australia,Jan-23, 31, 31, 0, 27, 20, 4, 11,87.1,64.5,0.0
Mackay-Brisbane,Mackay,Brisbane,Virgin Australia,Jan-23, 135, 131, 4, 76, 74, 55, 57,58.0,56.5,3.0
Melbourne-Adelaide,Melbourne,Adelaide,Virgin Australia,Jan-23, 274, 270, 4, 214, 195, 56, 75,79.3,72.2,1.5
Melbourne-Brisbane,Melbourne,Brisbane,Virgin Australia,Jan-23, 403, 393, 10, 302, 283, 91, 110,76.8,72.0,2.5
Melbourne-Cairns,Melbourne,Cairns,Virgin Australia,Jan-23, 49, 49, 0, 42, 40, 7, 9,85.7,81.6,0.0
Melbourne-Canberra,Melbourne,Canberra,Virgin Australia,Jan-23, 105, 105, 0, 82, 75, 23, 30,78.1,71.4,0.0
Melbourne-Darwin,Melbourne,Darwin,Virgin Australia,Jan-23, 20, 20, 0, 13, 10, 7, 10,65.0,50.0,0.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Virgin Australia,Jan-23, 328, 328, 0, 268, 273, 60, 55,81.7,83.2,0.0
Melbourne-Hobart,Melbourne,Hobart,Virgin Australia,Jan-23, 141, 140, 1, 108, 104, 32, 36,77.1,74.3,0.7
Melbourne-Launceston,Melbourne,Launceston,Virgin Australia,Jan-23, 97, 97, 0, 72, 71, 25, 26,74.2,73.2,0.0
Melbourne-Newcastle,Melbourne,Newcastle,Virgin Australia,Jan-23, 31, 31, 0, 24, 21, 7, 10,77.4,67.7,0.0
Melbourne-Perth,Melbourne,Perth,Virgin Australia,Jan-23, 192, 190, 2, 144, 153, 46, 37,75.8,80.5,1.0
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Virgin Australia,Jan-23, 111, 111, 0, 87, 86, 24, 25,78.4,77.5,0.0
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,Jan-23, 736, 701, 35, 594, 546, 107, 155,84.7,77.9,4.8
Mount Isa-Brisbane,Mount Isa,Brisbane,Virgin Australia,Jan-23, 12, 12, 0, 8, 3, 4, 9,66.7,25.0,0.0
Newcastle-Brisbane,Newcastle,Brisbane,Virgin Australia,Jan-23, 83, 81, 2, 56, 54, 25, 27,69.1,66.7,2.4
Newcastle-Melbourne,Newcastle,Melbourne,Virgin Australia,Jan-23, 31, 31, 0, 18, 16, 13, 15,58.1,51.6,0.0
Newman-Perth,Newman,Perth,Virgin Australia,Jan-23, 18, 17, 1, 9, 9, 8, 8,52.9,52.9,5.6
Perth-Adelaide,Perth,Adelaide,Virgin Australia,Jan-23, 21, 21, 0, 16, 17, 5, 4,76.2,81.0,0.0
Perth-Brisbane,Perth,Brisbane,Virgin Australia,Jan-23, 138, 135, 3, 89, 116, 46, 19,65.9,85.9,2.2
Perth-Broome,Perth,Broome,Virgin Australia,Jan-23, 11, 10, 1, 4, 4, 6, 6,40.0,40.0,9.1
Perth-Darwin,Perth,Darwin,Virgin Australia,Jan-23, 2, 2, 0, 0, 0, 2, 2,0.0,0.0,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia,Jan-23, 27, 26, 1, 19, 20, 7, 6,73.1,76.9,3.7
Perth-Karratha,Perth,Karratha,Virgin Australia,Jan-23, 23, 23, 0, 22, 22, 1, 1,95.7,95.7,0.0
Perth-Melbourne,Perth,Melbourne,Virgin Australia,Jan-23, 198, 196, 2, 141, 143, 55, 53,71.9,73.0,1.0
Perth-Newman,Perth,Newman,Virgin Australia,Jan-23, 18, 18, 0, 15, 14, 3, 4,83.3,77.8,0.0
Perth-Port Hedland,Perth,Port Hedland,Virgin Australia,Jan-23, 11, 11, 0, 10, 11, 1, 0,90.9,100.0,0.0
Perth-Sydney,Perth,Sydney,Virgin Australia,Jan-23, 151, 151, 0, 110, 126, 41, 25,72.8,83.4,0.0
Port Hedland-Perth,Port Hedland,Perth,Virgin Australia,Jan-23, 11, 11, 0, 8, 8, 3, 3,72.7,72.7,0.0
Proserpine-Brisbane,Proserpine,Brisbane,Virgin Australia,Jan-23, 49, 44, 5, 33, 33, 11, 11,75.0,75.0,10.2
Rockhampton-Brisbane,Rockhampton,Brisbane,Virgin Australia,Jan-23, 135, 134, 1, 83, 74, 51, 60,61.9,55.2,0.7
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Virgin Australia,Jan-23, 111, 111, 0, 86, 77, 25, 34,77.5,69.4,0.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Virgin Australia,Jan-23, 83, 83, 0, 71, 64, 12, 19,85.5,77.1,0.0
Sydney-Adelaide,Sydney,Adelaide,Virgin Australia,Jan-23, 141, 138, 3, 99, 109, 39, 29,71.7,79.0,2.1
Sydney-Ballina,Sydney,Ballina,Virgin Australia,Jan-23, 52, 52, 0, 37, 35, 15, 17,71.2,67.3,0.0
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,Jan-23, 417, 406, 11, 304, 303, 102, 103,74.9,74.6,2.6
Sydney-Cairns,Sydney,Cairns,Virgin Australia,Jan-23, 80, 80, 0, 62, 66, 18, 14,77.5,82.5,0.0
Sydney-Canberra,Sydney,Canberra,Virgin Australia,Jan-23, 212, 209, 3, 164, 177, 45, 32,78.5,84.7,1.4
Sydney-Darwin,Sydney,Darwin,Virgin Australia,Jan-23, 7, 7, 0, 2, 2, 5, 5,28.6,28.6,0.0
Sydney-Gold Coast,Sydney,Gold Coast,Virgin Australia,Jan-23, 319, 314, 5, 240, 234, 74, 80,76.4,74.5,1.6
Sydney-Hamilton Island,Sydney,Hamilton Island,Virgin Australia,Jan-23, 31, 31, 0, 25, 25, 6, 6,80.6,80.6,0.0
Sydney-Hobart,Sydney,Hobart,Virgin Australia,Jan-23, 79, 78, 1, 67, 69, 11, 9,85.9,88.5,1.3
Sydney-Launceston,Sydney,Launceston,Virgin Australia,Jan-23, 31, 31, 0, 25, 27, 6, 4,80.6,87.1,0.0
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,Jan-23, 727, 688, 39, 507, 529, 181, 159,73.7,76.9,5.4
Sydney-Perth,Sydney,Perth,Virgin Australia,Jan-23, 162, 162, 0, 119, 128, 43, 34,73.5,79.0,0.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Virgin Australia,Jan-23, 83, 83, 0, 70, 70, 13, 13,84.3,84.3,0.0
Townsville-Brisbane,Townsville,Brisbane,Virgin Australia,Jan-23, 137, 123, 14, 87, 85, 36, 38,70.7,69.1,10.2
All Ports-All Ports,All Ports,All Ports,Virgin Australia,Jan-23,11 466,11 222, 244,8 372,8 307,2 850,2 915,74.6,74.0,2.1
Adelaide-Perth,Adelaide,Perth,Virgin Australia Regional Airlines,Jan-23, 45, 42, 3, 19, 25, 23, 17,45.2,59.5,6.7
Broome-Perth,Broome,Perth,Virgin Australia Regional Airlines,Jan-23, 33, 31, 2, 17, 21, 14, 10,54.8,67.7,6.1
Darwin-Perth,Darwin,Perth,Virgin Australia Regional Airlines,Jan-23, 20, 20, 0, 11, 14, 9, 6,55.0,70.0,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia Regional Airlines,Jan-23, 43, 43, 0, 36, 32, 7, 11,83.7,74.4,0.0
Karratha-Perth,Karratha,Perth,Virgin Australia Regional Airlines,Jan-23, 30, 30, 0, 22, 21, 8, 9,73.3,70.0,0.0
Newman-Perth,Newman,Perth,Virgin Australia Regional Airlines,Jan-23, 36, 36, 0, 24, 24, 12, 12,66.7,66.7,0.0
Perth-Adelaide,Perth,Adelaide,Virgin Australia Regional Airlines,Jan-23, 45, 42, 3, 28, 25, 14, 17,66.7,59.5,6.7
Perth-Broome,Perth,Broome,Virgin Australia Regional Airlines,Jan-23, 33, 31, 2, 22, 24, 9, 7,71.0,77.4,6.1
Perth-Darwin,Perth,Darwin,Virgin Australia Regional Airlines,Jan-23, 20, 20, 0, 11, 11, 9, 9,55.0,55.0,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia Regional Airlines,Jan-23, 43, 43, 0, 39, 34, 4, 9,90.7,79.1,0.0
Perth-Karratha,Perth,Karratha,Virgin Australia Regional Airlines,Jan-23, 30, 30, 0, 27, 25, 3, 5,90.0,83.3,0.0
Perth-Newman,Perth,Newman,Virgin Australia Regional Airlines,Jan-23, 36, 36, 0, 28, 26, 8, 10,77.8,72.2,0.0
Perth-Port Hedland,Perth,Port Hedland,Virgin Australia Regional Airlines,Jan-23, 39, 37, 2, 29, 29, 8, 8,78.4,78.4,5.1
Port Hedland-Perth,Port Hedland,Perth,Virgin Australia Regional Airlines,Jan-23, 39, 37, 2, 25, 23, 12, 14,67.6,62.2,5.1
All Ports-All Ports,All Ports,All Ports,Virgin Australia Regional Airlines,Jan-23, 583, 567, 16, 395, 395, 172, 172,69.7,69.7,2.7
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,Jan-23, 47, 47, 0, 40, 36, 7, 11,85.1,76.6,0.0
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Jan-23, 333, 327, 6, 235, 253, 92, 74,71.9,77.4,1.8
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Jan-23, 76, 76, 0, 68, 68, 8, 8,89.5,89.5,0.0
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Jan-23, 74, 73, 1, 61, 63, 12, 10,83.6,86.3,1.4
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Jan-23, 681, 663, 18, 494, 519, 169, 144,74.5,78.3,2.6
Adelaide-Perth,Adelaide,Perth,All Airlines,Jan-23, 205, 200, 5, 150, 160, 50, 40,75.0,80.0,2.4
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,Jan-23, 289, 280, 9, 265, 261, 15, 19,94.6,93.2,3.1
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Jan-23, 458, 440, 18, 336, 350, 104, 90,76.4,79.5,3.9
Albury-Sydney,Albury,Sydney,All Airlines,Jan-23, 175, 169, 6, 146, 145, 23, 24,86.4,85.8,3.4
Alice Springs-Adelaide,Alice Springs,Adelaide,All Airlines,Jan-23, 48, 47, 1, 31, 33, 16, 14,66.0,70.2,2.1
Armidale-Sydney,Armidale,Sydney,All Airlines,Jan-23, 135, 128, 7, 108, 103, 20, 25,84.4,80.5,5.2
Ballina-Sydney,Ballina,Sydney,All Airlines,Jan-23, 240, 234, 6, 181, 175, 53, 59,77.4,74.8,2.5
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Jan-23, 334, 328, 6, 241, 224, 87, 104,73.5,68.3,1.8
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Jan-23, 348, 343, 5, 277, 281, 66, 62,80.8,81.9,1.4
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Jan-23, 265, 263, 2, 219, 214, 44, 49,83.3,81.4,0.8
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Jan-23, 112, 112, 0, 66, 78, 46, 34,58.9,69.6,0.0
Brisbane-Emerald,Brisbane,Emerald,All Airlines,Jan-23, 144, 141, 3, 118, 117, 23, 24,83.7,83.0,2.1
Brisbane-Gladstone,Brisbane,Gladstone,All Airlines,Jan-23, 185, 175, 10, 129, 131, 46, 44,73.7,74.9,5.4
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Jan-23, 62, 62, 0, 58, 54, 4, 8,93.5,87.1,0.0
Brisbane-Hobart,Brisbane,Hobart,All Airlines,Jan-23, 119, 118, 1, 95, 97, 23, 21,80.5,82.2,0.8
Brisbane-Launceston,Brisbane,Launceston,All Airlines,Jan-23, 56, 55, 1, 33, 32, 22, 23,60.0,58.2,1.8
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Jan-23, 282, 278, 4, 205, 193, 73, 85,73.7,69.4,1.4
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Jan-23, 968, 931, 37, 696, 674, 235, 257,74.8,72.4,3.8
Brisbane-Mount Isa,Brisbane,Mount Isa,All Airlines,Jan-23, 66, 64, 2, 53, 53, 11, 11,82.8,82.8,3.0
